scenario,run,method,rank,bias,abs_bias,mse,coverage
"Weak confounding, large sample",7,OLSWithControls,3,0.009707440216435437,0.009707440216435437,0.005180345472373824,0.86
"Weak confounding, large sample",7,DML,4,-0.014282363314613078,0.014282363314613078,0.005914863355809683,1.0
"Weak confounding, large sample",7,NaiveOLS,5,0.04484725233571951,0.04484725233571951,0.20340769870907027,0.32
"Weak confounding, large sample",8,AugmentedIPW,1,-0.0010332020752165105,0.0010332020752165105,0.006728108457346262,0.95
"Weak confounding, large sample",8,OLSWithControls,2,-0.0030170988318903857,0.0030170988318903857,0.00430484704539842,0.83
"Weak confounding, large sample",8,DML,3,-0.011635618876785103,0.011635618876785103,0.006481133438496497,1.0
"Weak confounding, large sample",8,IPWEstimator,4,-0.023455800896562407,0.023455800896562407,0.008850071464135195,1.0
"Weak confounding, large sample",8,NaiveOLS,5,0.10813955900942962,0.10813955900942962,0.19243482963518793,0.28
"Weak confounding, large sample",9,NaiveOLS,1,-0.0005901380882501472,0.0005901380882501472,0.22944064695177296,0.33
"Weak confounding, large sample",9,AugmentedIPW,2,-0.0009598410452714701,0.0009598410452714701,0.007020845362388172,0.93
"Weak confounding, large sample",9,IPWEstimator,3,-0.0024611946818500208,0.0024611946818500208,0.005275925496344699,1.0
"Weak confounding, large sample",9,OLSWithControls,4,-0.00442724016591034,0.00442724016591034,0.00532729124594124,0.78
"Weak confounding, large sample",9,DML,5,-0.018235121472912064,0.018235121472912064,0.006793940273053848,1.0
"Weak confounding, large sample",10,NaiveOLS,1,-0.00040346526748546996,0.00040346526748546996,0.22307965689542744,0.28
"Weak confounding, large sample",10,AugmentedIPW,2,-0.0020641905505104363,0.0020641905505104363,0.004486471099687594,0.95
"Weak confounding, large sample",10,IPWEstimator,3,-0.003659778530578861,0.003659778530578861,0.00906960568573573,0.99
"Weak confounding, large sample",10,OLSWithControls,4,-0.0038134805400291683,0.0038134805400291683,0.005787443733687139,0.82
"Weak confounding, large sample",10,DML,5,-0.006820737608765781,0.006820737608765781,0.004933098061419558,1.0
